Année,Édition,longueur totale,nombre d’étapes (wikipedia + LGB.com + Fabuleuse histoire),Prologue ?, nombre de coureurs au départ,nombre de coureurs à l'arrivée ,% de coureurs à l'arrivée,vainqueur,Temps total,Avance sur le 2e à l’arrivée,Nom 2e,Nationalité 2e,Avance sur 3e,Nom 3e,Nationalité 3e
1903,1,2428,6,n,60,21,35,Maurice Garin,94h 33’ 00”,"2h 49' 45"" ",L. Pothier,France,"4h 29' 38""",F. Augerau,France
1904,2,2428,6,n,88,15,17,Henri Cornet,96h 05’ 56”,"2h 16' 14"" ",J-B. Dortignacq,France,"8 h 07' 20""",A. Catteau,Belgique
1905,3,2994,11,n,60,24,40,Louis Trousselier,110h 26’ 58”,n.a.,H. Aucouturier,France,n.a.,JB. Dortignacq,France
1906,4,4637,13,n,82,14,17,René Pottier,189h 34’ 00”,n.a.,G. Passerieu,France,n.a.,L. Trousselier,France
1907,5,4488,14,n,93,33,35,Lucien Petit-Breton,158h 45’ 05”,n.a.,G. Garrigou,France,n.a.,E. Georget,France
1908,6,4488,14,n,110,36,33,Lucien Petit-Breton,156h 53’ 29”,n.a.,F. Faber,Luxembourg,n.a.,G. Passerieu,France
1909,7,4497,14,n,150,55,37,François Faber,157h 01’ 22”,n.a.,G. Garrigou,France,n.a.,J. Alavoine,France
1910,8,4734,15,n,110,41,37,Octave Lapize,162h 41’ 30”,n.a.,F. Faber,Luxembourg,n.a.,G. Garrigou,France
1911,9,5343,15,n,84,28,33,Gustave Garrigou,195h 37’ 00”,n.a.,P. Duboc,France,n.a.,E. Georget,France
1912,10,5289,15,n,131,41,31,Odile Defraye,190h 30’ 28”,n.a.,E. Christophe,France,n.a.,G. Garrigou,France
1913,11,5287,15,n,140,25,18,Philippe Thys,197h 54’ 00”,"0h 08' 37"" ",G. Garrigou,France,"0h 30' 55""",M. Buysse,Belgique
1914,12,5380,15,n,145,54,37,Philippe Thys,200h 28’ 48”,"0h 01' 40"" ",H. Pelissier,France,"0h 36' 53""",J. Alavoine,France
1919,13,5560,15,n,69,11,16,Firmin Lambot,231h 07’ 15”,"1h 32' 54"" ",J. Alavoine,France,"2h 16' 31""",E. Christophe,France
1920,14,5503,15,n,113,22,19,Philippe Thys,228h 36’ 13”,"0h 57' 21"" ",H. Heusghem,Belgique,"1h 39' 35""",F. Lambot,Belgique
1921,15,5485,15,n,123,38,31,Léon Scieur,221h 50’ 26”,"0h 18' 36"" ",H. Heusghem,Belgique,"2h 01' 00""",H. Barthelemy,France
1922,16,5375,15,n,120,38,32,Firmin Lambot,222h 08’ 06”,"0h 41' 15"" ",J. Alavoine,France,"0h 43' 02""",F. Sellier,Belgique
1923,17,5386,15,n,139,48,35,Henri Pélissier,222h 15’ 30”,"0h 30' 41"" ",O. Bottecchia,Italie,"1h 04' 43""",R. Bellenger,France
1924,18,5425,15,n,157,60,38,Ottavio Bottecchia,226h 18’ 21”,"0h 35' 36"" ",N. Frantz,Luxembourg,"1h 32' 13""",L. Buysse,Belgique
1925,19,5440,18,n,130,49,38,Ottavio Bottecchia,219h 10’ 18”,"0h 54' 20"" ",L. Buysse,France,"0h 56' 17""",B. Aimo,Italie
1926,20,5745,17,n,126,41,33,Lucien Buysse,238h 44’ 25”,"1h 22' 25"" ",N. Frantz,Luxembourg,"1h 23' 51""",B. Aimo,Italie
1927,21,5398,24,n,142,39,27,Nicolas Frantz,198h 16’ 42”,"1h 48' 21"" ",M. De Waele,Belgique,"2h 25' 06""",J. Vervaecke,Belgique
1928,22,5376,22,n,162,41,25,Nicolas Frantz,192h 48’ 58”,"0h 50' 07"" ",A. Leducq,France,"0h 56' 16""",M. De Waele,Belgique
1929,23,5286,22,n,155,60,39,Maurice De Waele,186h 39’ 16”,"0h 44' 23"" ",G. Pancera,Italie,"0h 57' 10""",J. Demuysere,Belgique
1930,24,4822,21,n,100,59,59,André Leducq,172h 12’ 16”,"0h 14' 13"" ",L. Guerra,Italie,"0h 16' 03""",A. Magne,France
1931,25,5091,24,n,81,35,43,Antonin Magne,177h 10’ 03”,"0h 12' 56"" ",J. Demuysere,Belgique,"0h 22' 52""",A. Pesenti,Italie
1932,26,4479,21,n,80,57,71,André Leducq,154h 12' 59'',"0h 24' 01"" ",K. Stoepel,Allemagne,"0h 26' 11""",F. Camusso,Italie
1933,27,4395,23,n,80,40,50,Georges Speicher,147h 51’ 37”,"0h 04' 01"" ",L. Guerra,Italie,"0h 05' 01""",G. Martano,Italie
1934,28,4470,23,n,60,39,65,Antonin Magne,147h 13’ 58”,"0h 27' 31"" ",G. Martano,Italie,"0h 52' 15""",R. Lapebie,France
1935,29,4338,21,n,93,46,49,Romain Maes,141h 23’ 00”,"0h 17' 52"" ",A. Morelli,Italie,"0h 24' 06""",F. Vervaecke,Belgique
1936,30,4442,21,n,130,43,33,Sylvère Maes,142h 47’ 32”,"0h 26' 55"" ",A. Magne,France,"0h 27' 53""",F. Vervaecke,Belgique
1937,31,4415,20,n,98,46,47,Roger Lapébie,138h 58’ 31”,"0h 07' 17"" ",M. Vicini,Italie,"0h 26' 23""",L. Amberg,Suisse
1938,32,4694,21,n,96,55,57,Gino Bartali,148h 29’ 12”,"0h 18' 27"" ",F. Vervaecke,Belgique,"0h 29' 26""",V. Cosson,France
1939,33,4224,18,n,79,49,62,Sylvère Maes,132h 03’ 17”,"0h 30' 38"" ",R. Vietto,France,"0h 32' 08""",L. Vlaemynck,Belgique
1947,34,4642,21,n,100,53,53,Jean Robic,148h 11’ 25”,"0h 03' 58"" ",E. Fachleitner,France,"0h 10' 07""",P. Brambilla,Italie
1948,35,4922,21,n,120,44,37,Gino Bartali,147h 10’ 36”,"0h 26' 16"" ",A. Schotte,Belgique,"0h 28' 48""",G. Lapebie,France
1949,36,4808,21,n,120,55,46,Fausto Coppi,149h 40’ 49”,"0h 10' 55"" ",G. Bartali,Italie,"0h 25' 13""",J. Marinelli,France
1950,37,4773,22,n,116,51,44,Ferdi Kübler,145h 36’ 46”,"0h 09' 30"" ",S. Ockers,Belgique,"0h 22' 19""",L. Bobet,France
1951,38,4690,24,n,123,66,54,Hugo Koblet,142h 20’ 14”,"0h 22' 00"" ",R. Geminiani,France,"0h 24' 16""",L. Lazarides,France
1952,39,4898,23,n,122,78,64,Fausto Coppi,151h 57’ 20”,"0h 28' 17"" ",S. Ockers,Belgique,"0h 34' 38""",B. Ruiz,Espagne
1953,40,4476,22,n,119,76,64,Louison Bobet,129h 23’ 25”,"0h 14' 18"" ",J. Mallejac,France,"0h 15' 01""",G. Astrua,Italie
1954,41,4656,23,n,110,69,63,Louison Bobet,140h 06’ 05”,"0h 15' 49"" ",F. Kubler,Suisse,"0h 21' 46""",F. Schaer,Suisse
1955,42,4495,22,n,130,69,53,Louison Bobet,130h 29’ 26”,"0h 04' 53"" ",J. Brankart,Belgique,"0h 11' 30""",C. Gaul,Luxembourg
1956,43,4498,22,n,120,88,73,Roger Walkowiak,124h 01’ 16”,"0h 01' 25"" ",G. Bauvin,France,"0h 03' 44""",J. Adriaensens,Belgique
1957,44,4669,22,n,120,56,47,Jacques Anquetil,135h 44’ 42”,"0h 14' 56"" ",M. Janssens,Belgique,"0h 17' 26""",A. Christian,Autriche
1958,45,4319,24,n,120,78,65,Charly Gaul,116h 59’ 05”,"0h 03' 10"" ",V. Favero,Italie,"0h 03' 41""",R. Geminiani,France
1959,46,4358,22,n,120,65,54,Federico Bahamontes,123h 46’ 45”,"0h 04' 01"" ",H. Anglade,France,"0h 05' 05""",J. Anquetil,France
1960,47,4173,21,n,128,81,63,Gastone Nencini,112h 08’ 42”,"0h 05' 02"" ",G. Battistini,Italie,"0h 10' 24""",J. Adriaensens,Belgique
1961,48,4397,21,n,132,72,55,Jacques Anquetil,122h 01’ 33”,"0h 12' 14"" ",G. CarlesiI,Italie,"0h 12' 16""",C. Gaul,Luxembourg
1962,49,4274,22,n,150,94,63,Jacques Anquetil,114h 31’ 45”,"0h 04' 59"" ",J. Planckaert,Belgique,"0h 10' 24""",R. Poulidor,France
1963,50,4138,21,n,130,76,58,Jacques Anquetil,113h 30’ 05”,"0h 03' 35"" ",F. Bahamontes,Espagne,"0h 10' 14""",J. Perez-Frances,Espagne
1964,51,4504,22,n,132,81,61,Jacques Anquetil,127h 09’ 44”,"0h 00' 55"" ",R. Poulidor,France,"0h 4' 44""",F. Bahamontes,Espagne
1965,52,4188,22,n,130,96,74,Felice Gimondi,116h 42’ 06”,"0h 02' 40"" ",R. Poulidor,France,"0h 09' 18""",G. Motta,Italie
1966,53,4329,22,n,130,82,63,Lucien Aimar,117h 34’ 21”,"0h 01' 07"" ",J. Janssen,Pays-Bas,"0h 02' 02""",R. Poulidor,France
1967,54,4779,22,o,130,88,68,Roger Pingeon,136h 53’ 50”,"0h 03' 40"" ",J. Jimenez,Espagne,"0h 07' 23""",F. Balmanion,Italie
1968,55,4492,22,n,110,63,57,Jan Janssen,133h 49’ 32”,"0h 00' 38"" ",H. Van Springel,Belgique,"0h 03' 03""",F. Bracke,Belgique
1969,56,4117,22,o,130,86,66,Eddy Merckx,116h 16’ 02”,"0h 17' 54"" ",R. Pingeon,France,"0h 22' 13""",R. Poulidor,France
1970,57,4254,23,o,150,100,67,Eddy Merckx,119h 31’ 49”,"0h 12' 41"" ",J. Zoetemelk,Pays-Bas,"0h 15' 54""",G. Pettersson,Suede
1971,58,3608,20,o,130,94,72,Eddy Merckx,96h 45’ 14”,"0h 09' 51"" ",J. Zoetemelk,Pays-Bas,"0h 11' 06""",L. Van Impe,Belgique
1972,59,3846,20,o,132,88,67,Eddy Merckx,108h 17’ 18”,"0h 10' 41"" ",F. Gimondi,Italie,"0h 11' 34""",R. Poulidor,France
1973,60,4090,20,o,132,87,66,Luis Ocaña,122h 25’ 34”,"0h 15' 51"" ",B. Thevenet,France,"0h 17' 15""",J-M. Fuente,Espagne
1974,61,4098,22,o,130,105,81,Eddy Merckx,116h 16’ 58”,"0h 08' 04"" ",R. Poulidor,France,"0h 8' 09""",V. Lopez-Carril,Espagne
1975,62,4000,22,o,140,86,61,Bernard Thévenet,114h 35’ 31”,"0h 02' 47"" ",E. Merckx,Belgique,"0h 05' 01""",L. Van Impe,Belgique
1976,63,4017,22,o,130,87,67,Lucien Van Impe,116h 22’ 23”,"0h 04' 14"" ",J. Zoetemelk,Pays-Bas,"0h 12' 08""",R. Poulidor,France
1977,64,4096,22,o,100,53,53,Bernard Thévenet,115h 38’ 30”,"0h 00' 48"" ",H. Kuiper,Pays-Bas,"0h 03' 32""",L. Van Impe,Belgique
1978,65,3908,22,o,110,78,71,Bernard Hinault,108h 18’ 00”,"0h 03' 56"" ",J. Zoetemelk,Pays-Bas,"0h 06' 54""",J. Agosthino,Portugal
1979,66,3765,24,o,150,90,60,Bernard Hinault,103h 06’ 50”,"0h 06' 50"" ",J. Zoetemelk,Pays-Bas,"0h 26' 53""",J. Agosthino,Portugal
1980,67,3842,22,o,130,85,65,Joop Zoetemelk,109h 19’ 14”,"0h 06' 55"" ",H. Kuiper,Belgique,"0h 07' 56""",R. Martin,France
1981,68,3753,24,o,150,121,81,Bernard Hinault,96h 19’ 38”,"0h 14' 34"" ",L. Van Impe,Belgique,"0h 17' 04""",R. Alban,France
1982,69,3507,21,o,169,125,74,Bernard Hinault,92h 08’ 46”,"0h 06' 21"" ",J. Zoetemelk,Pays-Bas,"0h 8' 59""",J. Van Der Velde,Pays-Bas
1983,70,3809,22,o,140,88,63,Laurent Fignon,105h 07’ 52”,"0h 04' 04"" ",A. Arroyo,Espagne,"0h 04' 09""",P. Winnen,Pays-Bas
