ID,Prenom vainqueur,nom vainqueur,age du vainqueur,Nationalité,année,nombre d'étapes avec le maillot jaune (Attention : pas nombre de jour en tête du général),nombre d’étapes de ce Tour,% de temps en tête du Tour,nombre de victoires d’étapes (ou fraction d'étape ou prologue),* vitesse moyenne,Temps total (lagrandeboucle.com + Fabuleuse histoire + Wikipedia),*** avance sur le 2e à l’arrivée,,suspension pour dopage ?,nombre de victoires finales (cumulé)
maurice-garin,Maurice,Garin,32,France,1903,5,6,83,3,"25,679 km/h",94h 33’ 00”,2h49'45'',,non,1
henri-cornet,Henri,Cornet,19,France,1904,0,6,0,0,"25,265 km/h",96h 05’ 56”,2h16'14'',,non,1
louis-trousselier,Louis,Trousselier,24,France,1905,9,11,82,5,"27,107 km/h",110h 26’ 58”,n.a.,,,1
rene-pottier,René,Pottier,27,France,1906,11,13,85,5,"24,463 km/h",189h 34’ 00”,n.a.,,,1
lucien-petit-breton,Lucien,Petit-Breton,24,France,1907,4,14,29,2,"28,470 km/h",158h 45’ 05”,n.a.,,,1
lucien-petit-breton,Lucien,Petit-Breton,25,France,1908,12,14,86,5,"28,740 km/h",156h 53’ 29”,n.a.,,,2
francois-faber,François,Faber,22,Luxembourg,1909,12,14,86,6,"28,658 km/h",157h 01’ 22”,n.a.,,,1
octave-lapize,Octave,Lapize,22,France,1910,2,15,13,4,"29,099 km/h",162h 41’ 30”,n.a.,,,1
gustave-garrigou,Gustave,Garrigou,26,France,1911,12,15,80,2,"27,322 km/h",195h 37’ 00”,n.a.,,,1
odile-defraye,Odile,Defraye,24,Belgique,1912,12,15,80,3,"27,763 km/h",190h 30’ 28”,n.a.,,,1
philippe-thys,Philippe,Thys,23,Belgique,1913,7,15,47,1,"26,715 km/h",197h 54’ 00”,0h08'37'',,,1
philippe-thys,Philippe,Thys,24,Belgique,1914,14,15,93,1,"26,835 km/h",200h 28’ 48”,0h01'40'',,,2
firmin-lambot,Firmin,Lambot,33,Belgique,1919,1,15,7,1,"24,056 km/h",231h 07’ 15”,1h42'54'',,,1
philippe-thys,Philippe,Thys,30,Belgique,1920,13,15,87,4,"24,072 km/h",228h 36’ 13”,0h57'21'',,,3
leon-scieur,Léon,Scieur,33,Belgique,1921,13,15,87,2,"24,724 km/h",221h 50’ 26”,0h18'36'',,,1
firmin-lambot,Firmin,Lambot,36,Belgique,1922,2,15,13,0,"24,196 km/h",222h 08’ 06”,0h41'15'',,,2
henri-pelissier,Henri,Pélissier,34,France,1923,5,15,33,3,"24,233 km/h",222h 15’ 30”,0h30'41'',,,1
ottavio-bottecchia,Ottavio,Bottecchia,29,Italie,1924,14,15,93,4,"24,250 km/h",226h 18’ 21”,0h35'36'',,,1
ottavio-bottecchia,Ottavio,Bottecchia,30,Italie,1925,12,18,67,4,"24,820 km/h",219h 10’ 18”,0h54'20'',,,2
lucien-buysse,Lucien,Buysse,33,Belgique,1926,9,17,53,3,"24,273 km/h",238h 44’ 25”,1h22'25'',,,1
nicolas-frantz,Nicolas,Frantz,27,Luxembourg,1927,13,24,54,3,"27,224 km/h",198h 16’ 42”,1h48'21'',,,1
nicolas-frantz,Nicolas,Frantz,28,Luxembourg,1928,21,22,95,5,"28,400 km/h",192h 48’ 58”,0h50'07'',,,2
maurice-de-waele,Maurice,De Waele,32,Belgique,1929,15,22,68,1,"28,319 km/h",186h 39’ 16”,0h44'23'',,,1
andre-leducq,André,Leducq,26,France,1930,12,21,57,2,"28,000 km/h",172h 12’ 16”,0h14'13'',,,1
antonin-magne,Antonin,Magne,27,France,1931,15,24,63,1,"28,735 km/h",177h 10’ 03”,0h12'56'',,,1
andre-leducq,André,Leducq,28,France,1932,18,21,86,6,"29,047 km/h",154h 11' 49'',0h24'03'',,,2
georges-speicher,Georges,Speicher,26,France,1933,11,23,48,3,"29,818 km/h",147h 51’ 37”,0h04'01'',,,1
antonin-magne,Antonin,Magne,30,France,1934,21,23,91,2,"30,360 km/h",147h 13’ 58”,0h27'31'',,,2
romain-maes,Romain,Maes,22,Belgique,1935,20,21,95,3,"30,650 km/h",141h 32’ 00”,0h17'52'',,,1
sylvere-maes,Sylvère,Maes,26,Belgique,1936,12,21,57,4,"31,108 km/h",142h 47’ 32”,0h26'55'',,,1
