ID,Prenom coureur,Nom coureur,Pays,Vainqueur,Légende,victoires d’étapes (ou fraction d'étape ou prologue),SCORE partie 1,Meilleur % de temps en tête du Tour,année de Meilleur % de temps en tête du Tour,Epoque du maillot,SCORE partie 2,Meilleure avance sur le 2e,Meilleure avance sur le 2e (décimale),SCORE partie 3,année Meilleure avance sur le 2e,Meilleure vitesse moyenne en km/h,SCORE partie 4,année Meilleure vitesse moyenne,nombre de victoires finales (cumulé),SCORE partie 5,suspension pour dopage ?,Score total (à titre informatif)
octave-lapize,Octave,Lapize,France,oui,non,6,"0,16",13,1910,old,"0,14",n.a.,0,"0,00",1910,"29,099","0,28",1910,1,"0,20",non,"0,78"
raymond-poulidor,Raymond,Poulidor,France,non,oui,7,"0,18",0,1964,mod,"0,00",0,0,"0,00",1964,"35,415","0,64",1964,0,"0,00",non,"0,83"
jean-robic,Jean,Robic,France,oui,non,6,"0,16",0,1947,old,"0,00","0h 03' 58""","0,066111111","0,06",1947,"31,412","0,41",1947,1,"0,20",non,"0,83"
jan-janssen,Jan,Janssen,Pays-Bas,oui,non,8,"0,21",0,1968,mod,"0,00","0h 00' 38""","0,010555556","0,01",1968,"33,556","0,54",1968,1,"0,20",non,"0,96"
laurent-jalabert,Laurent,Jalabert,France,non,oui,4,"0,11",10,2000,cont,"0,11",0,0,"0,00",1995,"39,323","0,87",1995,0,"0,00",oui,"1,08"
stephen-roche,Stephen,Roche,Irlande,oui,non,3,"0,08",8,1987,mod,"0,08","0h 00' 40""","0,011111111","0,01",1987,"36,645","0,71",1987,1,"0,20",non,"1,09"
henri-cornet,Henri,Cornet,France,oui,non,1,"0,03",0,1904,old,"0,00","2h 16' 14""","2,270555556","0,80",1904,"25,265","0,06",1904,1,"0,20",non,"1,09"
richard-virenque,Richard,Virenque,France,non,oui,7,"0,18",5,2003,cont,"0,05",0,0,"0,00",1997,"39,179","0,86",1995,0,"0,00",oui,"1,10"
roger-lapebie,Roger,Lapébie,France,oui,non,9,"0,24",15,1937,old,"0,16","0h 07' 17""","0,121388889","0,11",1937,"31,768","0,43",1937,1,"0,20",non,"1,14"
henri-pelissier,Henri,Pélissier,France,oui,non,10,"0,26",33,1923,old,"0,35","0h 30' 41""","0,511388889","0,37",1923,"24,233","0,00",1923,1,"0,20",non,"1,18"
charly-mottet,Charly,Mottet,France,non,oui,4,"0,11",24,1987,mod,"0,25",0,0,"0,00",1987,"38,695","0,83",1991,0,"0,00",non,"1,19"
lucien-aimar,Lucien,Aimar,France,oui,non,1,"0,03",23,1966,mod,"0,24","0h 01' 07""","0,018611111","0,02",1966,"36,760","0,72",1966,1,"0,20",non,"1,21"
cadel-evans,Cadel,Evans,Australie,oui,non,2,"0,05",5,2011,cont,"0,05","0h 01' 34""","0,026111111","0,02",2011,"39,788","0,89",2011,1,"0,20",non,"1,22"
rene-pottier,René,Pottier,France,oui,non,5,"0,13",85,1906,old,"0,89",n.a.,0,"0,00",1906,"24,463","0,02",1906,1,"0,20",non,"1,24"
roger-walkowiak,Roger,Walkowiak,France,oui,non,0,"0,00",32,1956,old,"0,34","0h 01' 25""","0,023611111","0,02",1956,"36,268","0,69",1956,1,"0,20",non,"1,25"
charly-gaul,Charly,Gaul,Luxembourg,oui,non,10,"0,26",4,1958,old,"0,04","0h 03' 10""","0,052777778","0,05",1958,"36,919","0,73",1958,1,"0,20",non,"1,28"
georges-speicher,Georges,Speicher,France,oui,non,9,"0,24",48,1933,old,"0,51","0h 04' 01""","0,066944444","0,06",1933,"29,818","0,32",1933,1,"0,20",non,"1,32"
odile-defraye,Odile,Defraye,Belgique,oui,non,3,"0,08",80,1912,old,"0,84",n.a.,0,"0,00",1912,"27,763","0,20",1912,1,"0,20",non,"1,33"
