ID,new ID,Année,Num étape officiel,Num étape id,Nom étape,Ville départ,Pays départ,coordonnées départ,Ville arrivée,Pays Arrivée,Coordonnées Arrivée,km
E-2011-1,E-2011-1,2011,1,1,Passage du Gois - Mont des Alouettes,Noirmoutier,France,"47.001143,-2.247107",Les Herbiers,France,"46.86919,-1.013388",191.5
E-2011-2,E-2011-2,2011,2,2,Les Essarts - Les Essarts,Les Essarts,France,"46.774141,-1.23052",Les Essarts,France,"46.774141,-1.23052",23
E-2011-3,E-2011-3,2011,3,3,Olonne-sur-Mer - Redon,Olonne-sur-Mer,France,"46.536402,-1.772826",Redon,France,"47.650742,-2.083938",198
E-2011-4,E-2011-4,2011,4,4,Lorient - Mûr-de-Bretagne,Lorient,France,"47.748252,-3.370245",Mûr-de-Bretagne,France,"48.201707,-2.987594",172.5
E-2011-5,E-2011-5,2011,5,5,Carhaix-Plouguer - Cap Fréhel,Carhaix-Plouguer,France,"48.275584,-3.574188",Cap Fréhel,France,"48.683475,-2.318914",164.5
E-2011-6,E-2011-6,2011,6,6,Dinan - Lisieux,Dinan,France,"48.454366,-2.047327",Lisieux,France,"49.145922,0.227849",226.5
E-2011-7,E-2011-7,2011,7,7,Le Mans - Châteauroux,Le Mans,France,"48.00611,0.199556",Châteauroux,France,"46.811434,1.686779",218
E-2011-8,E-2011-8,2011,8,8,Aigurande - Super-Besse,Aigurande,France,"46.434011,1.828597",Super Besse,France,"45.508022,2.861518",189
E-2011-9,E-2011-9,2011,9,9,Issoire - Saint-Flour,Issoire,France,"45.54151,3.248128",Saint-Flour,France,"45.033026,3.094862",208
E-2011-10,E-2011-10,2011,10,10,Aurillac - Carmaux,Aurillac,France,"44.930953,2.444997",Carmaux,France,"44.050034,2.16075",158
E-2011-11,E-2011-11,2011,11,11,Blaye-les-Mines - Lavaur,Blaye-les-Mines,France,"44.030913,2.1316",Lavaur,France,"43.699185,1.820699",167.5
E-2011-12,E-2011-12,2011,12,12,Cugnaux - Luz-Ardiden,Cugnaux,France,"43.537141,1.344995",Luz-Ardiden,France,"42.885105,-0.061335",211
E-2011-13,E-2011-13,2011,13,13,Pau - Lourdes,Pau,France,"43.2951,-0.370797",Lourdes,France,"43.091463,-0.045726",152.5
E-2011-14,E-2011-14,2011,14,14,Saint-Gaudens - Plateau de Beille,Saint-Gaudens,France,"43.106895,0.723763",Plateau de Beille,France,"42.709683,1.702387",168.5
E-2011-15,E-2011-15,2011,15,15,Limoux - Montpellier,Limoux,France,"43.053289,2.218142",Montpellier,France,"43.610769,3.876716",192.5
E-2011-16,E-2011-16,2011,16,16,Saint-Paul-Trois-Châteaux - Gap,Saint-Paul-Trois-Châteaux,France,"44.348678,4.768295",Gap,France,"44.559638,6.079758",162.5
E-2011-17,E-2011-17,2011,17,17,Gap - Pignerol (Ita.),Gap,France,"44.559638,6.079758",Pignerol,Italie,"44.885026,7.349995",179
E-2011-18,E-2011-18,2011,18,18,Pignerol (Ita.) - Galibier Serre-Chevalier,Pignerol,Italie,"44.885026,7.349995",Col du Galibier,France,"45.06411,6.40782",200.5
E-2011-19,E-2011-19,2011,19,19,Modane - L’Alpe d’Huez,Modane,France,"45.201491,6.67292",L’Alpe d’Huez,France,"45.092624,6.068348",109.5
E-2011-20,E-2011-20,2011,20,20,Grenoble - Grenoble,Grenoble,France,"45.188529,5.724524",Grenoble,France,"45.188529,5.724524",42.5
E-2011-21,E-2011-21,2011,21,21,Créteil - Paris-Champs-Élysées,Créteil,France,"48.790367,2.455572",Paris,France,"48.856614,2.352222",95
E-2007-Prologue,E-2007-0,2007,Prologue,0,Londres (G.-B.) - Londres (G.-B.),Londres,Grande-Bretagne,"51.511214,-0.119824",Londres,Grande-Bretagne,"51.511214,-0.119824",7.9
E-2007-1,E-2007-1,2007,1,1,Londres (G.-B.) - Cantorbéry (G.-B.),Londres,Grande-Bretagne,"51.511214,-0.119824",Cantorbéry,Grande-Bretagne,"51.280233,1.078909",203
E-2007-2,E-2007-2,2007,2,2,Dunkerque - Gand (Bel.),Dunkerque,France,"51.03456,2.375202",Gand,Belgique,"51.053468,3.73038",167
E-2007-3,E-2007-3,2007,3,3,Waregem (Bel.) - Compiègne,Waregem,Belgique,"50.886895,3.423168",Compiègne,France,"49.417816,2.826145",236
E-2007-4,E-2007-4,2007,4,4,Villers-Cotterêts - Joigny,Villers-Cotterêts,France,"49.255061,3.090816",Joigny,France,"47.981432,3.398961",190
E-2007-5,E-2007-5,2007,5,5,Chablis - Autun,Chablis,France,"47.815269,3.800451",Autun,France,"46.950914,4.301565",184
E-2007-6,E-2007-6,2007,6,6,Semur-en-Auxois - Bourg-en-Bresse,Semur-en-Auxois,France,"47.490238,4.33234",Bourg-en-Bresse,France,"46.20279,5.219246",200
E-2007-7,E-2007-7,2007,7,7,Bourg-en-Bresse - Le Grand-Bornand,Bourg-en-Bresse,France,"46.20279,5.219246",Le Grand-Bornand,France,"45.942027,6.426699",197
E-2007-8,E-2007-8,2007,8,8,Le Grand-Bornand - Tignes,Le Grand-Bornand,France,"45.942027,6.426699",Tignes,France,"45.468323,6.905578",165
E-2007-9,E-2007-9,2007,9,9,Val-d'Isère - Briançon,Val-d'Isère,France,"45.448034,6.980226",Briançon,France,"44.899416,6.643179",161
E-2007-10,E-2007-10,2007,10,10,Tallard - Marseille,Tallard,France,"44.461865,6.055327",Marseille,France,"43.296482,5.36978",229
E-2007-11,E-2007-11,2007,11,11,Marseille - Montpellier,Marseille,France,"43.296482,5.36978",Montpellier,France,"43.610769,3.876716",180
E-2007-12,E-2007-12,2007,12,12,Montpellier - Castres,Montpellier,France,"43.610769,3.876716",Castres,France,"43.606214,2.241295",179
E-2007-13,E-2007-13,2007,13,13,Albi - Albi,Albi,France,"43.926896,2.146343",Albi,France,"43.926896,2.146343",54
E-2007-14,E-2007-14,2007,14,14,Mazamet - Plateau de Beille,Mazamet,France,"43.490103,2.376579",Plateau de Beille,France,"42.709683,1.702387",197
E-2007-15,E-2007-15,2007,15,15,Foix - Loudenvielle (Val-Louron),Foix,France,"42.964127,1.605232",Loudenvielle,France,"42.795702,0.412744",196
E-2007-16,E-2007-16,2007,16,16,Orthez - Gourette (Col d'Aubisque),Orthez,France,"43.48756,-0.773928","Gourette, Eaux-Bonnes",France,"42.958836,-0.332111",218
E-2007-17,E-2007-17,2007,17,17,Pau - Castelsarrasin,Pau,France,"43.2951,-0.370797",Castelsarrasin,France,"44.039889,1.107132",188
