ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1970-Prologue,1970,Prologue,Limoges,Limoges,France,Limoges,France,"7,4",(CLM),Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-1,1970,1,Limoges - La Rochelle,Limoges,France,La Rochelle,France,"224,5",,Cyrille Guimard Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1970-2,1970,2,La Rochelle - Angers,La Rochelle,France,Angers,France,200,,Italo Zilioli Drapeau d'Italie Italie,,Italo Zilioli Drapeau d'Italie Italie,
E-1970-3a,1970,3a,Angers - Angers,Angers,France,Angers,France,"10,7",(CLM par équipes),Faema-Faemino,,Italo Zilioli Drapeau d'Italie Italie,
E-1970-3b,1970,3b,Angers - Rennes,Angers,France,Rennes,France,140,,Marino Basso Drapeau d'Italie Italie,,Italo Zilioli Drapeau d'Italie Italie,
E-1970-4,1970,4,Rennes - Lisieux,Rennes,France,Lisieux,France,229,,Walter Godefroot Drapeau belge Belgique,,Italo Zilioli Drapeau d'Italie Italie,
E-1970-5a,1970,5a,Lisieux - Rouen,Lisieux,France,Rouen,France,"94,5",,Walter Godefroot Drapeau belge Belgique,,Italo Zilioli Drapeau d'Italie Italie,
E-1970-5b,1970,5b,Rouen - Amiens,Rouen,France,Amiens,France,113,,Jozef Spruyt Drapeau belge Belgique,,Italo Zilioli Drapeau d'Italie Italie,
E-1970-6,1970,6,Amiens - Valenciennes,Amiens,France,Valenciennes,France,"135,5",,Roger De Vlaeminck Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-7a,1970,7a,Valenciennes - Forest (BEL),Valenciennes,France,Forest,Belgique,119,,Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-7b,1970,7b,Forest - Forest,Forest,Belgique,Forest,Belgique,"7,2",(CLM),José Antonio González Linares Drapeau : EspagneEspagne,,Eddy Merckx Drapeau belge Belgique,
E-1970-8,1970,8,Ciney (BEL) - Felsberg (RFA),Ciney,Belgique,Felsberg,Allemagne,"232,5",,Alain Vasseur Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1970-9,1970,9,Saarlouis (RFA) - Mulhouse,Saarlouis,Allemagne,Mulhouse,France,"269,5",,Mogens Frey Drapeau du Danemark Danemark,,Eddy Merckx Drapeau belge Belgique,
E-1970-10,1970,10,Belfort - Divonne-les-Bains,Belfort,France,Divonne-les-Bains,France,241,,Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-11a,1970,11a,Divonne-les-Bains - Divonne-les-Bains,Divonne-les-Bains,France,Divonne-les-Bains,France,"8,8",(CLM),Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-11b,1970,11b,Divonne-les-Bains - Thonon-les-Bains,Divonne-les-Bains,France,Thonon-les-Bains,France,"139,5",,Marino Basso Drapeau d'Italie Italie,,Eddy Merckx Drapeau belge Belgique,
E-1970-12,1970,12,Thonon-les-Bains - Grenoble,Thonon-les-Bains,France,Grenoble,France,194,,Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-13,1970,13,Grenoble - Gap,Grenoble,France,Gap,France,"195,5",,Primo Mori Drapeau d'Italie Italie,,Eddy Merckx Drapeau belge Belgique,
E-1970-14,1970,14,Gap - Mont Ventoux,Gap,France,Mont Ventoux,France,170,,Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-15,1970,15,Carpentras - Montpellier,Carpentras,France,Montpellier,France,"144,5",,Marinus Wagtmans Drapeau : Pays-Bas Pays-Bas,,Eddy Merckx Drapeau belge Belgique,
E-1970-16,1970,16,Montpellier - Toulouse,Montpellier,France,Toulouse,France,"259,5",,Albert Van Vlierberghe Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-17,1970,17,Toulouse - Saint-Gaudens,Toulouse,France,Saint-Gaudens,France,190,,Luis Ocaña Drapeau : EspagneEspagne,,Eddy Merckx Drapeau belge Belgique,
E-1970-18,1970,18,Saint-Gaudens - La Mongie,Saint-Gaudens,France,La Mongie,France,"135,5",,Bernard Thévenet Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1970-19,1970,19,Bagnères-de-Bigorre - Mourenx,Bagnères-de-Bigorre,France,Mourenx,France,"185,5",,Christian Raymond Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1970-20a,1970,20a,Mourenx - Bordeaux,Mourenx,France,Bordeaux,France,231,,Rolf Wolfshohl Drapeau d'Allemagne Allemagne,,Eddy Merckx Drapeau belge Belgique,
E-1970-20b,1970,20b,Bordeaux - Bordeaux,Bordeaux,France,Bordeaux,France,"8,2",(CLM),Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1970-21,1970,21,Ruffec - Tours,Ruffec,France,Tours,France,"191,5",,Marino Basso Drapeau d'Italie Italie,,Eddy Merckx Drapeau belge Belgique,
E-1970-22,1970,22,Tours - Versailles,Tours,France,Versailles,France,"238,5",,Jean-Pierre Danguillaume Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1970-23,1970,23,Versailles - Paris,Versailles,France,Paris,France,54,(CLM),Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
