ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1903-1,1903,1,Montgeron - Lyon,Montgeron,France,Lyon,France,467,plaine,Maurice Garin,France,Maurice Garin,France
E-1903-2,1903,2,Lyon - Marseille,Lyon,France,Marseille,France,374,plaine,Hippolyte Aucouturier,France,Maurice Garin,France
E-1903-3,1903,3,Marseille - Toulouse,Marseille,France,Toulouse,France,423,plaine,Hippolyte Aucouturier,France,Maurice Garin,France
E-1903-4,1903,4,Toulouse - Bordeaux,Toulouse,France,Bordeaux,France,268,plaine,Charles Laeser,Suisse,Maurice Garin,France
E-1903-5,1903,5,Bordeaux - Nantes,Bordeaux,France,Nantes,France,425,plaine,Maurice Garin,France,Maurice Garin,France
E-1903-6,1903,6,Nantes - Paris,Nantes,France,Paris,France,471,plaine,Maurice Garin,France,Maurice Garin,France
E-1904-1,1904,1,Montgeron - Lyon,Montgeron,France,Lyon,France,467,plaine,Maurice Garin,France,Maurice Garin,France
E-1904-2,1904,2,Lyon - Marseille,Lyon,France,Marseille,France,374,plaine,Hippolyte Aucouturier,France,Maurice Garin,France
E-1904-3,1904,3,Marseille - Toulouse,Marseille,France,Toulouse,France,424,plaine,Hippolyte Aucouturier,France,Maurice Garin,France
E-1904-4,1904,4,Toulouse - Bordeaux,Toulouse,France,Bordeaux,France,268,plaine,Lucien Pothier,France,Maurice Garin,France
E-1904-5,1904,5,Bordeaux - Nantes,Bordeaux,France,Nantes,France,425,plaine,Hippolyte Aucouturier,France,Maurice Garin,France
E-1904-6,1904,6,Nantes - Paris,Nantes,France,Paris,France,471,plaine,Hippolyte Aucouturier,France,Maurice Garin,France
E-1905-1,1905,1,Paris - Nancy,Paris,France,Nancy,France,340,plaine,Louis Trousselier,France,Louis Trousselier,France
E-1905-2,1905,2,Nancy - Besançon,Nancy,France,Besançon,France,299,montagne,Hippolyte Aucouturier,France,René Pottier,France
E-1905-3,1905,3,Besançon - Grenoble,Besançon,France,Grenoble,France,327,plaine,Louis Trousselier,France,Louis Trousselier,France
E-1905-4,1905,4,Grenoble - Toulon,Grenoble,France,Toulon,France,348,plaine,Hippolyte Aucouturier,France,Louis Trousselier,France
E-1905-5,1905,5,Toulon - Nîmes,Toulon,France,Nîmes,France,192,plaine,Louis Trousselier,France,Louis Trousselier,France
E-1905-6,1905,6,Nîmes - Toulouse,Nîmes,France,Toulouse,France,307,plaine,Jean-Baptiste Dortignacq,France,Louis Trousselier,France
E-1905-7,1905,7,Toulouse - Bordeaux,Toulouse,France,Bordeaux,France,268,plaine,Louis Trousselier,France,Louis Trousselier,France
E-1905-8,1905,8,Bordeaux - La Rochelle,Bordeaux,France,La Rochelle,France,257,plaine,Hippolyte Aucouturier,France,Louis Trousselier,France
E-1905-9,1905,9,La Rochelle - Rennes,La Rochelle,France,Rennes,France,263,plaine,Louis Trousselier,France,Louis Trousselier,France
E-1905-10,1905,10,Rennes - Caen,Rennes,France,Caen,France,167,plaine,Jean-Baptiste Dortignacq,France,Louis Trousselier,France
E-1905-11,1905,11,Caen - Paris,Caen,France,Paris,France,253,plaine,Jean-Baptiste Dortignacq,France,Louis Trousselier,France
E-1906-1,1906,1,Paris - Lille,Paris,France,Lille,France,275,plaine,Émile Georget,France,Émile Georget,France
E-1906-2,1906,2,Douai - Nancy,Douai,France,Nancy,France,400,plaine,René Pottier,France,René Pottier,France
E-1906-3,1906,3,Nancy - Dijon,Nancy,France,Dijon,France,416,montagne,René Pottier,France,René Pottier,France
E-1906-4,1906,4,Dijon - Grenoble,Dijon,France,Grenoble,France,311,plaine,René Pottier,France,René Pottier,France
E-1906-5,1906,5,Grenoble - Nice,Grenoble,France,Nice,France,345,montagne,René Pottier,France,René Pottier,France
E-1906-6,1906,6,Nice - Marseille,Nice,France,Marseille,France,292,plaine,Georges Passerieu,France,René Pottier,France
E-1906-7,1906,7,Marseille - Toulouse,Marseille,France,Toulouse,France,480,montagne,Louis Trousselier,France,René Pottier,France
