Année,Num d'édition,longueur totale en km,nombre d'étapes (wikipedia + LGB.com + Fabuleuse histoire),Prologue, nombre de coureurs au départ,nombre de coureurs à l'arrivée ,% de coureurs à l'arrivée,Prénom vainqueur,Nom vainqueur,ID Vainqueur,Temps total,age vainqueur,Nationalité vainqueur,vitesse moyenne vainqueur (en km/h),Avance sur le 2e à l’arrivée,Nom 2e,Nationalité 2e,ID 2e,Avance sur 3e,Nom 3e,Nationalité 3e,ID 3e,Sens horaire (oui ou non)
1903,1,2428,6,non,60,21,35,Maurice,Garin,maurice-garin,"94h 33' 00""",32,France,"25,679","2h 49' 45"" ",L. Pothier,France,,"4h 29' 38""",F. Augerau,France,,oui
1904,2,2428,6,non,88,15,17,Henri,Cornet,henri-cornet,"96h 05' 56""",19,France,"25,265","2h 16' 14"" ",J-B. Dortignacq,France,,"8 h 07' 20""",A. Catteau,Belgique,,oui
1905,3,2994,11,non,60,24,40,Louis,Trousselier,louis-trousselier,110h 26' 58”,24,France,"27,107",n.a.,H. Aucouturier,France,,n.a.,JB. Dortignacq,France,,oui
1906,4,4637,13,non,82,14,17,René,Pottier,rene-pottier,"189h 34' 00""",27,France,"24,463",n.a.,G. Passerieu,France,,n.a.,L. Trousselier,France,louis-trousselier,oui
1907,5,4488,14,non,93,33,35,Lucien,Petit-Breton,lucien-petit-breton,"158h 45' 05""",24,France,"28,470",n.a.,G. Garrigou,France,,n.a.,E. Georget,France,,oui
1908,6,4488,14,non,110,36,33,Lucien,Petit-Breton,lucien-petit-breton,"156h 53' 29""",25,France,"28,740",n.a.,F. Faber,Luxembourg,francois-faber,n.a.,G. Passerieu,France,,oui
1909,7,4497,14,non,150,55,37,François,Faber,francois-faber,"157h 01' 22""",22,Luxembourg,"28,658",n.a.,G. Garrigou,France,gustave-garrigou,n.a.,J. Alavoine,France,,oui
1910,8,4734,15,non,110,41,37,Octave,Lapize,octave-lapize,"162h 41' 30""",22,France,"29,099",n.a.,F. Faber,Luxembourg,francois-faber,n.a.,G. Garrigou,France,gustave-garrigou,oui
1911,9,5343,15,non,84,28,33,Gustave,Garrigou,gustave-garrigou,"195h 37' 00""",26,France,"27,322",n.a.,P. Duboc,France,,n.a.,E. Georget,France,,oui
1912,10,5289,15,non,131,41,31,Odile,Defraye,odile-defraye,"190h 30' 28""",24,Belgique,"27,763",n.a.,E. Christophe,France,,n.a.,G. Garrigou,France,gustave-garrigou,oui
1913,11,5287,15,non,140,25,18,Philippe,Thys,philippe-thys,"197h 54' 00""",23,Belgique,"26,715","0h 08' 37"" ",G. Garrigou,France,gustave-garrigou,"0h 30' 55""",M. Buysse,Belgique,,non
1914,12,5380,15,non,145,54,37,Philippe,Thys,philippe-thys,"200h 28' 48""",24,Belgique,"26,835","0h 01' 40"" ",H. Pelissier,France,henri-pelissier,"0h 36' 53""",J. Alavoine,France,,non
1919,13,5560,15,non,69,11,16,Firmin,Lambot,firmin-lambot,"231h 07' 15""",33,Belgique,"24,056","1h 32' 54"" ",J. Alavoine,France,,"2h 16' 31""",E. Christophe,France,,non
